cbo2002;ncognitivo;nsocial;nmotor;nmed
226310;0,509050369;0,587602675;0,407754451;0,523161458
410235;0,633959055;0,587596357;0,032462008;0,547161774
225350;0,891019106;0,585895121;0,079093978;0,693173358
354810;0,44675529;0,585662127;0,104106076;0,452304463
214915;0,763911307;0,584926009;0,162647471;0,633023836
214920;0,763911307;0,584926009;0,162647471;0,633023836
214005;0,747288525;0,584633827;0,089975871;0,615182722
214010;0,747288525;0,584633827;0,089975871;0,615182722
214275;0,747288525;0,584633827;0,089975871;0,615182722
342545;0,561889231;0,581494808;0,077257566;0,510904165
141110;0,520475268;0,578507364;0,276008129;0,510771285
251515;0,929204941;0,577475011;0,11119014;0,715132782
251520;0,929204941;0,577475011;0,11119014;0,715132782
251545;0,929204941;0,577475011;0,11119014;0,715132782
141615;0,548817515;0,576785862;0,123290747;0,507627846
521110;0,351970613;0,576520085;0,265631765;0,416423536
354820;0,520672143;0,5756194;0,292640775;0,511892254
251525;0,843744218;0,575328052;0,091655485;0,665209853
421120;0,40204367;0,574125171;0,275357604;0,444255093
262330;0,590373218;0,573521435;0,0768039;0,52382657
223102;0,800788343;0,572735846;0,046190321;0,635383487
225110;0,800788343;0,572735846;0,046190321;0,635383487
203505;0,672822654;0,571034074;0,05258619;0,565363911
203525;0,672822654;0,571034074;0,05258619;0,565363911
261405;0,672822654;0,571034074;0,05258619;0,565363911
223204;0,771409154;0,570961297;0,527549505;0,675792038
223208;0,771409154;0,570961297;0,527549505;0,675792038
223216;0,771409154;0,570961297;0,527549505;0,675792038
223220;0,771409154;0,570961297;0,527549505;0,675792038
223232;0,771409154;0,570961297;0,527549505;0,675792038
223248;0,771409154;0,570961297;0,527549505;0,675792038
223272;0,771409154;0,570961297;0,527549505;0,675792038
223284;0,771409154;0,570961297;0,527549505;0,675792038
254310;0,627314985;0,570738375;0,173068419;0,554592899
354125;0,31653586;0,569558918;0,040586933;0,367961356
524105;0,31653586;0,569558918;0,040586933;0,367961356
524205;0,31653586;0,569558918;0,040586933;0,367961356
524210;0,31653586;0,569558918;0,040586933;0,367961356
524305;0,31653586;0,569558918;0,040586933;0,367961356
524310;0,31653586;0,569558918;0,040586933;0,367961356
410205;0,485195249;0,567803562;0,156995311;0,473730882
223106;0,820743144;0,561778426;0,167595565;0,657093353
223127;0,820743144;0,561778426;0,167595565;0,657093353
223134;0,820743144;0,561778426;0,167595565;0,657093353
223139;0,820743144;0,561778426;0,167595565;0,657093353
223143;0,820743144;0,561778426;0,167595565;0,657093353
223147;0,820743144;0,561778426;0,167595565;0,657093353
223152;0,820743144;0,561778426;0,167595565;0,657093353
223155;0,820743144;0,561778426;0,167595565;0,657093353
225109;0,820743144;0,561778426;0,167595565;0,657093353
225115;0,820743144;0,561778426;0,167595565;0,657093353
225118;0,820743144;0,561778426;0,167595565;0,657093353
225120;0,820743144;0,561778426;0,167595565;0,657093353
225121;0,820743144;0,561778426;0,167595565;0,657093353
225122;0,820743144;0,561778426;0,167595565;0,657093353
225135;0,820743144;0,561778426;0,167595565;0,657093353
225136;0,820743144;0,561778426;0,167595565;0,657093353
225245;0,820743144;0,561778426;0,167595565;0,657093353
225275;0,820743144;0,561778426;0,167595565;0,657093353
225280;0,820743144;0,561778426;0,167595565;0,657093353
225340;0,820743144;0,561778426;0,167595565;0,657093353
142505;0,633555472;0,560464382;0,13922146;0,550582899
223126;0,797441304;0,560400307;0,229685083;0,651217242
225160;0,797441304;0,560400307;0,229685083;0,651217242
214125;0,613124192;0,560307205;0,065956324;0,530626613
141120;0,563566566;0,559838355;0,533122241;0,558713788
630105;0,563566566;0,559838355;0,533122241;0,558713788
234765;0,693211854;0,559311748;0,005758592;0,567094951
354805;0,418827802;0,558130205;0,120420448;0,429758357
354815;0,418827802;0,558130205;0,120420448;0,429758357
223505;0,630194545;0,558009923;0,464307696;0,586497468
223510;0,630194545;0,558009923;0,464307696;0,586497468
223515;0,630194545;0,558009923;0,464307696;0,586497468
223520;0,630194545;0,558009923;0,464307696;0,586497468
223525;0,630194545;0,558009923;0,464307696;0,586497468
223530;0,630194545;0,558009923;0,464307696;0,586497468
223535;0,630194545;0,558009923;0,464307696;0,586497468
223540;0,630194545;0,558009923;0,464307696;0,586497468
223550;0,630194545;0,558009923;0,464307696;0,586497468
223555;0,630194545;0,558009923;0,464307696;0,586497468
223560;0,630194545;0,558009923;0,464307696;0,586497468
223565;0,630194545;0,558009923;0,464307696;0,586497468
322205;0,630194545;0,558009923;0,464307696;0,586497468
322245;0,630194545;0,558009923;0,464307696;0,586497468
142120;0,471330047;0,557989299;0,074170955;0,453030474
223545;0,615812361;0,556134522;0,429507375;0,573852914
225310;0,788505018;0,55544275;0,130347773;0,63287741
122115;0,495086759;0,553123057;0,353780717;0,497625399
612320;0,495086759;0,553123057;0,353780717;0,497625399
612405;0,495086759;0,553123057;0,353780717;0,497625399
612410;0,495086759;0,553123057;0,353780717;0,497625399
612415;0,495086759;0,553123057;0,353780717;0,497625399
612420;0,495086759;0,553123057;0,353780717;0,497625399
612505;0,495086759;0,553123057;0,353780717;0,497625399
113005;0,515697062;0,552479029;0,182197511;0,488359372
113010;0,515697062;0,552479029;0,182197511;0,488359372
113015;0,515697062;0,552479029;0,182197511;0,488359372
114105;0,515697062;0,552479029;0,182197511;0,488359372
262205;0,549824417;0,551089466;0,179339424;0,506283029
262215;0,549824417;0,551089466;0,179339424;0,506283029
262220;0,549824417;0,551089466;0,179339424;0,506283029
223620;0,614504933;0,550949514;0,407248229;0,568769424
215115;0,539765537;0,550060093;0,476776809;0,535715773
341215;0,539765537;0,550060093;0,476776809;0,535715773
341220;0,539765537;0,550060093;0,476776809;0,535715773
341225;0,539765537;0,550060093;0,476776809;0,535715773
223260;0,772757232;0,548812747;0,432819605;0,65792306
141415;0,450937927;0,548372686;0,352979958;0,471726485
510115;0,47696802;0,547745645;0,380057812;0,48901322
223151;0,815423489;0,54754746;0,154202238;0,647851253
225127;0,815423489;0,54754746;0,154202238;0,647851253
351735;0,575413644;0,546923697;0,065623783;0,505443952
114305;0,463180065;0,546864867;0,057430211;0,442871629
223240;0,624287188;0,546604156;0,304684997;0,56052097
223144;0,851379275;0,546516538;0,330899715;0,688203731
122605;0,479993492;0,546389461;0,046308864;0,450619026
223146;0,851313472;0,546211004;0,438817948;0,700871701
223212;0,72898978;0,545610607;0,476811349;0,638063568
223228;0,72898978;0,545610607;0,476811349;0,638063568
223236;0,72898978;0,545610607;0,476811349;0,638063568
142330;0,646419764;0,545135796;0,055275757;0,542581031
322225;0,647730231;0,54477489;0,399560392;0,58403325
612120;0,506062031;0,543185472;0,353494734;0,500307584
612310;0,506062031;0,543185472;0,353494734;0,500307584
612315;0,506062031;0,543185472;0,353494734;0,500307584
252215;0,650874436;0,542496383;0,069967568;0,545890557
410230;0,544750929;0,54106468;0,036775324;0,483247647
223128;0,812763691;0,540432036;0,147505596;0,643230243
225165;0,812763691;0,540432036;0,147505596;0,643230243
223107;0,854684591;0,540362656;0,35008651;0,690246893
223140;0,854684591;0,540362656;0,35008651;0,690246893
223145;0,854684591;0,540362656;0,35008651;0,690246893
421305;0,424788564;0,540123999;0,046821628;0,418305695
225265;0,866697252;0,538885593;0,41255179;0,703758872
253120;0,594549239;0,53751725;0,034239184;0,509090041
223605;0,606452584;0,536846995;0,567268014;0,578648094
223625;0,606452584;0,536846995;0,567268014;0,578648094
223630;0,606452584;0,536846995;0,567268014;0,578648094
223635;0,606452584;0,536846995;0,567268014;0,578648094
223650;0,606452584;0,536846995;0,567268014;0,578648094
223655;0,606452584;0,536846995;0,567268014;0,578648094
223660;0,606452584;0,536846995;0,567268014;0,578648094
410220;0,470804036;0,535797417;0,089827262;0,447217369
262805;0,415627182;0,535092771;0,490568936;0,464260953
262815;0,415627182;0,535092771;0,490568936;0,464260953
262820;0,415627182;0,535092771;0,490568936;0,464260953
262825;0,415627182;0,535092771;0,490568936;0,464260953
223136;0,815718234;0,534920096;0,129463032;0,640876806
225103;0,815718234;0,534920096;0,129463032;0,640876806
141510;0,468020439;0,533933818;0,332087934;0,473817077
234415;0,69839102;0,533514857;0,231540203;0,588146672
122105;0,517037272;0,533247828;0,35320875;0,502989732
611005;0,517037272;0,533247828;0,35320875;0,502989732
612005;0,517037272;0,533247828;0,35320875;0,502989732
612105;0,517037272;0,533247828;0,35320875;0,502989732
612110;0,517037272;0,533247828;0,35320875;0,502989732
612115;0,517037272;0,533247828;0,35320875;0,502989732
612125;0,517037272;0,533247828;0,35320875;0,502989732
612205;0,517037272;0,533247828;0,35320875;0,502989732
612210;0,517037272;0,533247828;0,35320875;0,502989732
612215;0,517037272;0,533247828;0,35320875;0,502989732
612220;0,517037272;0,533247828;0,35320875;0,502989732
612225;0,517037272;0,533247828;0,35320875;0,502989732
612305;0,517037272;0,533247828;0,35320875;0,502989732
612510;0,517037272;0,533247828;0,35320875;0,502989732
612515;0,517037272;0,533247828;0,35320875;0,502989732
612605;0,517037272;0,533247828;0,35320875;0,502989732
612610;0,517037272;0,533247828;0,35320875;0,502989732
612615;0,517037272;0,533247828;0,35320875;0,502989732
612620;0,517037272;0,533247828;0,35320875;0,502989732
612625;0,517037272;0,533247828;0,35320875;0,502989732
612705;0,517037272;0,533247828;0,35320875;0,502989732
612710;0,517037272;0,533247828;0,35320875;0,502989732
612715;0,517037272;0,533247828;0,35320875;0,502989732
612720;0,517037272;0,533247828;0,35320875;0,502989732
612725;0,517037272;0,533247828;0,35320875;0,502989732
612730;0,517037272;0,533247828;0,35320875;0,502989732
612735;0,517037272;0,533247828;0,35320875;0,502989732
612740;0,517037272;0,533247828;0,35320875;0,502989732
612805;0,517037272;0,533247828;0,35320875;0,502989732
612810;0,517037272;0,533247828;0,35320875;0,502989732
613005;0,517037272;0,533247828;0,35320875;0,502989732
613105;0,517037272;0,533247828;0,35320875;0,502989732
613110;0,517037272;0,533247828;0,35320875;0,502989732
613115;0,517037272;0,533247828;0,35320875;0,502989732
613120;0,517037272;0,533247828;0,35320875;0,502989732
613125;0,517037272;0,533247828;0,35320875;0,502989732
613130;0,517037272;0,533247828;0,35320875;0,502989732
613205;0,517037272;0,533247828;0,35320875;0,502989732
613210;0,517037272;0,533247828;0,35320875;0,502989732
613215;0,517037272;0,533247828;0,35320875;0,502989732
613305;0,517037272;0,533247828;0,35320875;0,502989732
613310;0,517037272;0,533247828;0,35320875;0,502989732
613405;0,517037272;0,533247828;0,35320875;0,502989732
613410;0,517037272;0,533247828;0,35320875;0,502989732
613415;0,517037272;0,533247828;0,35320875;0,502989732
613420;0,517037272;0,533247828;0,35320875;0,502989732
223123;0,809444427;0,533240259;0,122098908;0,636001838
225315;0,809444427;0,533240259;0,122098908;0,636001838
225270;0,865998387;0,533224046;0,410916835;0,701298057
223154;0,798098266;0,533147037;0,20547767;0,639639227
225330;0,798098266;0,533147037;0,20547767;0,639639227
261710;0,623138487;0,532852709;0,087059066;0,529492415
517210;0,422796279;0,531494796;0,555067658;0,474651112
271110;0,46740067;0,530566514;0,397409022;0,480107946
513615;0,46740067;0,530566514;0,397409022;0,480107946
142325;0,542678714;0,529898643;0,013202583;0,475599028
253105;0,542678714;0,529898643;0,013202583;0,475599028
253115;0,542678714;0,529898643;0,013202583;0,475599028
261110;0,542678714;0,529898643;0,013202583;0,475599028
420120;0,439976931;0,528165281;0,067853652;0,425156804
111410;0,473485291;0,527867079;0,116924927;0,449265883
111415;0,473485291;0,527867079;0,116924927;0,449265883
111505;0,473485291;0,527867079;0,116924927;0,449265883
111510;0,473485291;0,527867079;0,116924927;0,449265883
123105;0,473485291;0,527867079;0,116924927;0,449265883
142105;0,473485291;0,527867079;0,116924927;0,449265883
515325;0,461408466;0,527814209;0,222978592;0,455206426
517320;0,483803123;0,527483344;0,389960587;0,48719819
214130;0,638326049;0,52553463;0,032976899;0,52897368
322215;0,578385353;0,524016082;0,454297155;0,545574562
142110;0,68549943;0,5239923;0,012539108;0,551918602
511210;0,439481407;0,523871779;0,083336599;0,425293882
510305;0,494449675;0,523599923;0,388016254;0,491517191
123210;0,509779751;0,52275151;0;0,453603794
371205;0,655590057;0,522273183;0,240485713;0,561984436
223276;0,686570346;0,520259917;0,426073164;0,600335061
223288;0,686570346;0,520259917;0,426073164;0,600335061
223293;0,686570346;0,520259917;0,426073164;0,600335061
223132;0,793786883;0,520014405;0,336705923;0,648476696
225250;0,793786883;0,520014405;0,336705923;0,648476696
234730;0,750669241;0,519118726;0,016531849;0,586528629
223105;0,888625979;0,518946886;0,532577455;0,723400401
223108;0,888625979;0,518946886;0,532577455;0,723400401
223109;0,888625979;0,518946886;0,532577455;0,723400401
223110;0,888625979;0,518946886;0,532577455;0,723400401
223111;0,888625979;0,518946886;0,532577455;0,723400401
223112;0,888625979;0,518946886;0,532577455;0,723400401
223113;0,888625979;0,518946886;0,532577455;0,723400401
223119;0,888625979;0,518946886;0,532577455;0,723400401
223120;0,888625979;0,518946886;0,532577455;0,723400401
223121;0,888625979;0,518946886;0,532577455;0,723400401
223122;0,888625979;0,518946886;0,532577455;0,723400401
223138;0,888625979;0,518946886;0,532577455;0,723400401
225145;0,888625979;0,518946886;0,532577455;0,723400401
225150;0,888625979;0,518946886;0,532577455;0,723400401
225203;0,888625979;0,518946886;0,532577455;0,723400401
225210;0,888625979;0,518946886;0,532577455;0,723400401
225215;0,888625979;0,518946886;0,532577455;0,723400401
225220;0,888625979;0,518946886;0,532577455;0,723400401
225225;0,888625979;0,518946886;0,532577455;0,723400401
225230;0,888625979;0,518946886;0,532577455;0,723400401
225235;0,888625979;0,518946886;0,532577455;0,723400401
225240;0,888625979;0,518946886;0,532577455;0,723400401
225255;0,888625979;0,518946886;0,532577455;0,723400401
225260;0,888625979;0,518946886;0,532577455;0,723400401
225290;0,888625979;0,518946886;0,532577455;0,723400401
225295;0,888625979;0,518946886;0,532577455;0,723400401
223129;0,77900511;0,518512368;0,131776333;0,615549343
225170;0,77900511;0,518512368;0,131776333;0,615549343
322250;0,682801604;0,518304706;0,270065784;0,579104775
351605;0,605018079;0,517633379;0,192235261;0,526967601
